Rank,Project,Category,Difficulty,Level,Priority,Tech/Frameworks,PDF Page
Rank,Project,Category,Difficulty,Level,Priority,,PDF Page
1,Power BI Project - Diamonds Dataset (Basic),Data Analytics,1,Beginner,CORE,,6
2,Power BI Project - Fashion Dataset (Intermediate),Data Analytics,2,Beginner,OPTIONAL,,6
3,Regional Sales Performance Analysis and Visualization,Data Analytics,2,Beginner,CORE,,11
4,Telecom Customer Churn Analysis and Dashboarding Project,Data Analytics,2,Beginner,CORE,,6
5,Solar Energy Data Analysis and Reporting with Power BI & MySQL,Data Analytics,3,Beginner+,OPTIONAL,,5
6,Drinks Quality Prediction System,Machine Learning,3,Beginner+,CORE,,11
7,Telecom Customer Churn Prediction,Machine Learning,3,Beginner+,CORE,,6
8,Facial Emotion Detection System,Deep Learning / CV,4,Beginner+,CORE,,2
9,Poultry Disease Identification,Deep Learning / CV,4,Beginner+,ALTERNATIVE,,8
10,2-Stage Loan Approval & Valuation System,Machine Learning,4,Beginner+,OPTIONAL,,6
11,Academic Risk & Engagement Prediction System,Machine Learning,4,Beginner+,OPTIONAL,,9
12,Global Mobility Application Analyser,Machine Learning / Analytics,4,Beginner+,OPTIONAL,,12
13,Discarded Material Identification System,Machine Learning / CV,4,Beginner+,OPTIONAL,,7
14,Chest Disease Identification,Machine Learning / Medical,4,Beginner+,ALTERNATIVE,,7
15,Predictive Modeling for Cancer Risk Assessment using Machine Learning,Machine Learning / Medical,4,Beginner+,ALTERNATIVE,,11
16,End-to-End NexusView Package,Python / Data Science,4,Beginner+,OPTIONAL,,9
17,Intelligent Timetable Generator,Python / Optimization,4,Beginner+,OPTIONAL,,3
18,Automated YouTube Mixtape Creation with Python,Python Automation,4,Beginner+,ALTERNATIVE,,11
19,Books Recommender System,Recommender Systems,4,Beginner+,CORE,,2
20,Network Security,Cybersecurity,5,Intermediate,SPECIALIZED,,12
21,Elephant Species Classification using Deep Learning and Transfer Learning,Deep Learning / CV,5,Intermediate,CORE,,6
22,End-to-End Waste Detection System,Deep Learning / CV,5,Intermediate,CORE,,3
